OBJECTID,DruhNehody,HlavniPricina,Zavineni,Datum,Den,DenNoc,Alkohol,Usmrceno,Tezce,Lehce,StavPovrchu,Pocasi,SpecifikaceMista,DruhVozidla,Smyk,Skoda,X,Y,x,y
2663,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/25/2018,Středa,Noc,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,35000,16.625303678,49.213045983,1850720.3397185009,6311088.458997084
2664,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/23/2018,Pondělí,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.6039176830001,49.207837726,1848339.6616449992,6310200.970968111
2668,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/26/2018,Čtvrtek,Den,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Nákladní automobil,Ne,0,16.6261636780001,49.191443888,1850816.074480588,6307408.067812144
2673,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/27/2018,Pátek,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.685890677,49.2111278890001,1857464.8535958745,6310761.604521856
2675,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/27/2018,Pátek,Noc,Ne,0,0,0,Mokrý,Neztížené,Žádné,Nákladní automobil,Ne,10000,16.603207678,49.2016074150001,1848260.6242499354,6309139.447531304
2677,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/28/2018,Sobota,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,0,16.6944646750001,49.2054196080001,1858419.3066873003,6309788.954958305
2678,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/29/2018,Neděle,Den,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,50000,16.5548336800001,49.2065576590001,1842875.6554249416,6309982.861609023
2682,Jiný druh nehody,Nepřiměřená rychlost jízdy,Řidičem nemotorového vozidla,7/29/2018,Neděle,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Jízdní kolo,Ne,0,16.6132386890001,49.1926319510001,1849377.2712865996,6307610.438659004
2683,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/30/2018,Pondělí,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,1000,16.6029726830001,49.192341938,1848234.4647261996,6307561.038324904
2684,Srážka s jedoucím nekolejovým vozidlem,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/30/2018,Pondělí,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Žádné,Motocykl,Ne,10000,16.609530679,49.189996809,1848964.4975015405,6307161.583573986
