OBJECTID,ID,Datum,Den,Day,DenNoc,DayNight,DruhNehody,Type,Zavineni,CausedBy,Alkohol,Alcohol,HlavniPricina,MainCause,Usmrceno,Tezce,Lehce,DeathToll,HeavyInjuries,LightInjuries,StavPovrchu,RoadCondition,Pocasi,Weather,SpecifikaceMista,PlaceSituation,DruhVozidla,VehicleType,Smyk,Skyd,Skoda,X,Y,x2,y2
3207,60206181970,10/18/2018 12:00:00 AM,Čtvrtek,Thursday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.546810685,49.177767155,16.546810685,49.177767155
3208,60206181971,10/18/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s chodcem,Collision with pedestrian,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,0,16.5885526860001,49.2514867350001,16.5885526860001,49.2514867350001
3209,60206181972,10/18/2018 12:00:00 AM,Čtvrtek,Thursday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.626519677,49.1766820920001,16.626519677,49.1766820920001
3210,60206181973,10/18/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s chodcem,Collision with pedestrian,Chodcem,Pedestrian,Ne,No,Nezaviněná řidičem,Not caused by driver,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Zastávka MHD,Public transport stop,Osobní automobil,Car,Ne,No,5000,16.5693546860001,49.1720998390001,16.5693546860001,49.1720998390001
3211,60206181974,10/18/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.620641682,49.184113503,16.620641682,49.1841135030001
3212,60206181975,10/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,30000,16.611185689,49.1884577340001,16.611185689,49.188457734
3213,60206181976,10/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,Jiný druh nehody,Other,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Nákladní automobil,Truck,Ne,No,0,16.646370685,49.1947940640001,16.646370685,49.1947940640001
3214,60206181977,10/19/2018 12:00:00 AM,Pátek,Friday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.658205676,49.189836804,16.658205676,49.189836804
3215,60206181978,10/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Nákladní automobil,Truck,Ne,No,30000,16.5320766830001,49.2262266070001,16.5320766830001,49.2262266070001
3216,60206181979,10/18/2018 12:00:00 AM,Čtvrtek,Thursday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.6115396860001,49.1889217520001,16.6115396860001,49.188921752
3217,60206181980,10/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,10000,16.6022836820001,49.1461163330001,16.6022836820001,49.1461163330001
3218,60206181981,10/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,0,16.6594126800001,49.1896687930001,16.6594126800001,49.1896687930001
