OBJECTID,ID,Datum,Den,Day,DenNoc,DayNight,DruhNehody,Type,Zavineni,CausedBy,Alkohol,Alcohol,HlavniPricina,MainCause,Usmrceno,Tezce,Lehce,DeathToll,HeavyInjuries,LightInjuries,StavPovrchu,RoadCondition,Pocasi,Weather,SpecifikaceMista,PlaceSituation,DruhVozidla,VehicleType,Smyk,Skyd,Skoda,X,Y,x2,y2
1,60040180001,1/2/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,0,16.4016266850001,49.2203133340001,16.4016266850001,49.2203133340001
2,60040180002,1/3/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,50000,16.342174685,49.2561439240001,16.342174685,49.2561439240001
3,60040180003,1/10/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,Mokrý,Wet,Déšť,Raining,Žádné,None,Osobní automobil,Car,Ne,No,40000,16.4934086850001,49.1777571550001,16.4934086850001,49.177757155
4,60040180004,1/1/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.467250097,49.1848886270001,16.467250097,49.1848886270001
5,60040180005,1/13/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.4423286840001,49.1902068210001,16.4423286840001,49.1902068210001
6,60040180006,1/16/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,2,0,0,2,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,320000,16.3585766910001,49.2484406,16.3585766910001,49.2484406
7,60040180007,1/16/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,10000,16.5240816900001,49.170982785,16.5240816900001,49.170982785
8,60040180008,1/19/2018 12:00:00 AM,Pátek,Friday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Sněžení,Snowing,Žádné,None,Nákladní automobil,Truck,Ne,No,50000,16.3282466900001,49.257722992,16.3282466900001,49.257722992
9,60040180009,2/9/2018 12:00:00 AM,Pátek,Friday,Den,Day,Jiný druh nehody,Other,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.359451689,49.2479265810001,16.359451689,49.2479265810001
10,60040180010,2/17/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,Rozbředlý sníh,Slushy snow,Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,30000,16.328604694,49.2573359740001,16.328604694,49.2573359740001
11,60040180011,2/19/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,150000,16.328614691,49.2573409770001,16.328614691,49.2573409770001
12,60040180012,2/20/2018 12:00:00 AM,Úterý,Tuesday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,300000,16.390166687,49.2244275290001,16.390166687,49.2244275290001
13,60040180013,2/21/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.2908624300001,49.2689615300001,16.2908624300001,49.2689615300001
14,60040180014,2/22/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,150000,16.4821586840001,49.181497361,16.4821586840001,49.181497361
15,60040180015,2/22/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,0,16.40316369,49.2198043070001,16.40316369,49.2198043070001
16,60040180016,2/28/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.342520693,49.2562549310001,16.342520693,49.256254931
17,60040180017,3/6/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Náledí, ujetý sníh - neposypané","Ice, snow - no grit",Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,20000,16.388735888,49.2253521200001,16.388735888,49.2253521200001
18,60040180018,3/6/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,120000,16.279800687,49.270078487,16.279800687,49.270078487
19,60040180019,3/7/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,200000,16.365855692,49.2438904090001,16.365855692,49.2438904090001
20,60040180020,3/8/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,2,0,0,2,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,200000,16.4647016930001,49.1853565710001,16.4647016930001,49.1853565710001
21,60040180021,3/8/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,1000,16.3856426880001,49.227771687,16.3856426880001,49.227771687
22,60040180022,3/14/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Jiný druh nehody,Other,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.390551691,49.2242705190001,16.390551691,49.2242705190001
23,60040180023,3/17/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Náledí, ujetý sníh - posypané","Ice, snow - grit",Sněžení,Snowing,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.371881597,49.2390559770001,16.371881597,49.2390559770001
24,60040180024,3/17/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,"Náledí, ujetý sníh - posypané","Ice, snow - grit",Déšť,Raining,Žádné,None,Nákladní automobil,Truck,Ano,Yes,90000,16.3744496850001,49.2366170820001,16.3744496850001,49.2366170820001
25,60040180025,3/17/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,0,0,0,0,"Náledí, ujetý sníh - posypané","Ice, snow - grit",Sněžení,Snowing,Žádné,None,Osobní automobil,Car,Ano,Yes,40000,16.388768682,49.2252525640001,16.388768682,49.2252525640001
26,60040180026,3/21/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,130000,16.290995696,49.2675123870001,16.290995696,49.2675123870001
27,60040180027,3/21/2018 12:00:00 AM,Středa,Wednesday,Noc,Night,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Čerpadlo pohonných hmot,Gas station,Nákladní automobil,Truck,Ne,No,0,16.4794506920001,49.183106449,16.4794506920001,49.183106449
28,60040180028,3/22/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,1,1,0,1,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ano,Yes,200000,16.320111694,49.257846999,16.320111694,49.257846999
29,60040180029,3/24/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,50000,16.419954682,49.2046565650001,16.419954682,49.204656565
30,60040180030,3/26/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,80000,16.3778525450001,49.234539318,16.3778525450001,49.234539318
31,60040180031,3/28/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,1,4,0,1,4,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Autobus,Bus,Ne,No,500000,16.531579681,49.169747708,16.531579681,49.169747708
32,60040180032,4/4/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.541545679,49.168073619,16.541545679,49.168073619
33,60040180033,3/28/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.517805691,49.171747828,16.517805691,49.171747828
34,60040180034,4/6/2018 12:00:00 AM,Pátek,Friday,Den,Day,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,10000,16.401163691,49.2204803380001,16.401163691,49.2204803380001
35,60040180035,4/9/2018 12:00:00 AM,Pondělí,Monday,Noc,Night,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.4669011830001,49.184941189,16.4669011830001,49.184941189
36,60040180036,4/9/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,100000,16.422690694,49.2011033900001,16.422690694,49.2011033900001
37,60040180037,4/13/2018 12:00:00 AM,Pátek,Friday,Noc,Night,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,Mokrý,Wet,Déšť,Raining,Žádné,None,Nákladní automobil,Truck,Ne,No,5000,16.4476276840001,49.188650743,16.4476276840001,49.188650743
38,60040180038,4/13/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.4916916870001,49.1781871790001,16.4916916870001,49.1781871790001
39,60040180039,4/13/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,1,1,0,1,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ano,Yes,80000,16.4054386930001,49.2187372600001,16.4054386930001,49.2187372600001
40,60040180040,4/16/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,80000,16.44449568,49.1893257780001,16.44449568,49.1893257780001
41,60040180041,4/17/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,60000,16.54297969,49.1678466050001,16.54297969,49.1678466050001
42,60040180042,4/18/2018 12:00:00 AM,Středa,Wednesday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,50000,16.459913688,49.1863536230001,16.459913688,49.1863536230001
43,60040180043,4/20/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,2000,16.4423226870001,49.1882767220001,16.4423226870001,49.1882767220001
44,60040180044,4/22/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,80000,16.3372346900001,49.2569979620001,16.3372346900001,49.2569979620001
45,60040180045,4/23/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.557022005,49.1637315180001,16.557022005,49.1637315180001
46,60040180046,4/24/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.4892217870001,49.1791342390001,16.4892217870001,49.1791342390001
47,60040180047,4/13/2018 12:00:00 AM,Pátek,Friday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.3664476860001,49.243436386,16.3664476860001,49.243436386
48,60040180048,4/27/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,50000,16.4735586850001,49.1836854740001,16.4735586850001,49.1836854740001
49,60040180049,4/29/2018 12:00:00 AM,Neděle,Sunday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,70000,16.3352726950001,49.2572909780001,16.3352726950001,49.2572909780001
50,60040180050,5/1/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.5153621110001,49.172643968,16.5153621110001,49.172643968
51,60040180051,5/3/2018 12:00:00 AM,Čtvrtek,Thursday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.314818696,49.258785039,16.314818696,49.258785039
52,60040180052,5/4/2018 12:00:00 AM,Pátek,Friday,Noc,Night,Jiný druh nehody,Other,Technickou závadou vozidla,Technical malfunction of a vehicle,Nezjišťováno,Not tested,Technická závada vozidla,Technical malfunction of vehicle,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.3250116950001,49.2576089830001,16.3250116950001,49.2576089830001
53,60040180053,5/5/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.5432016280001,49.1677623460001,16.5432016280001,49.1677623460001
54,60040180054,5/7/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,2,0,0,2,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.4792266910001,49.1822924040001,16.4792266910001,49.1822924040001
55,60040180055,5/7/2018 12:00:00 AM,Pondělí,Monday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,30000,16.4335876850001,49.1937750120001,16.4335876850001,49.1937750120001
56,60040180056,5/8/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Havárie,Crash,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Motocykl,Motorbike,Ne,No,10000,16.337604689,49.1843285140001,16.337604689,49.1843285140001
57,60040180057,5/15/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,70000,16.4231906850001,49.2008783730001,16.4231906850001,49.2008783730001
58,60040180058,5/15/2018 12:00:00 AM,Úterý,Tuesday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.4231906850001,49.2008783730001,16.4231906850001,49.2008783730001
59,60040180059,5/18/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,80000,16.280747693,49.270011482,16.280747693,49.270011482
60,60040180060,5/25/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,5000,16.515832683,49.172499868,16.515832683,49.172499868
61,60040180061,5/26/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,60000,16.3583016870001,49.2485976070001,16.3583016870001,49.2485976070001
62,60040180062,5/30/2018 12:00:00 AM,Středa,Wednesday,Noc,Night,Srážka s lesní zvěří,Collision with wildlife animals,"Lesní zvěří, domácim zvířetem","Wildlife animal, pet",Nezjišťováno,Not tested,Nezaviněná řidičem,Not caused by driver,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,50000,16.358259692,49.248642616,16.358259692,49.248642616
